Title;Genre ID;Publisher;Platform release date;Original release date
PixelJunk Raiders;0;Q-Games;2021.03.01;2021.03.01
PJ Masks: Heroes of the Night;13;Outright Games;2021.10.29;2021.10.29
PlayerUnknown's Battlegrounds;3;PUBG Corporation;2020.04.28;2017.12.20
Power Rangers: Battle for the Grid;7;Lionsgate Games;2020.06.01;2019.03.26
Race with Ryan Road Trip;15;Outright Games;2022.03.01;2019.10.30
Rage 2;18;Bethesda Softworks;2019.11.19;2019.05.14
Rayman Legends;13;Ubisoft;2021.11.23;2013.09.03
Red Dead Redemption 2;1;Rockstar Games;2019.11.19;2018.10.26
Reigns;22;Devolver Digital;2020.12.22;2016.08.11
Relicta;14;Koch Media;2020.08.04;2020.08.04
R?publique;23;NIS America;2020.09.15;2016.03.22
Resident Evil 7: Biohazard;23;Capcom;2021.04.01;2017.01.24
Resident Evil Village;23;Capcom;2021.05.07;2021.05.07
Riders Republic;21;Ubisoft;2021.10.28;2021.10.28
Rise of the Tomb Raider;1;Square Enix;2019.11.19;2015.11.10
Risk of Rain 2;18;Gearbox Publishing;2020.09.29;2020.08.11
Rock of Ages III: Make And Break;24;Modus Games;2020.08.14;2020.07.21
Ryan's Rescue Squad;1;Outright Games;2022.03.08;2022.03.04
Saints Row IV: Re-Elected;1;Deep Silver;2021.11.01;2013.08.20
Saints Row: The Third Remastered;1;Koch Media;2021.03.05;2020.05.22
Samurai Shodown;7;Athlon Games;2019.11.19;2019.06.25
Secret Neighbor;23;tinyBuild;2020.12.01;2019.10.24
Sekiro: Shadows Die Twice;1;Activision;2020.10.28;2019.03.22
Serious Sam 4;18;Devolver Digital;2020.09.24;2020.09.24
Serious Sam Collection;18;Devolver Digital;2020.03.03;2020.03.03
Shadow of the Tomb Raider;1;Square Enix;2019.11.19;2018.09.14
Shantae: Half-Genie Hero;13;WayForward;2021.02.23;2016.12.20
Shantae: Risky's Revenge;13;WayForward;2021.02.23;2010.10.04
Sniper Elite 4;18;Rebellion Developments;2020.11.01;2017.02.17
Spiritfarer;19;Thunder Lotus Games;2020.08.21;2020.08.18
Spitlings;2;HandyGames;2020.02.25;2020.02.25
SpongeBob SquarePants: Battle for Bikini Bottom ? Rehydrated;13;THQ Nordic;2020.12.08;2020.06.23
Stacks On Stacks (On Stacks);14;Herringbone Games;2020.04.01;2020.04.01
Star Wars Jedi: Fallen Order;1;Electronic Arts;2020.11.24;2019.11.15
SteamWorld Dig;1;Image & Form;2020.03.10;2013.08.07
SteamWorld Dig 2;1;Image & Form;2020.03.01;2017.09.21
